1,0.99964,0.99907,0.99721,0.99842,0.99831,0.99906,0.99964,0.99691,0.99918,0.99722,0.99793,0.99719,0.99924,0.99821,0.99915,0.99877,0.99731,0.99779,0.99872,0.99896,0.99889,0.99874,0.99659,0.99725,0.99744,0.99944,0.99938,0.99913,0.99943,0.99701,0.99945,0.99962,0.99954,0.9996,0.99784,0.99761,0.99797,0.99896,0.99922,0.99943,0.99863,0.9973
0.99964,1,0.99886,0.99698,0.99819,0.99809,0.99884,0.99979,0.99714,0.99897,0.99699,0.9977,0.99695,0.99904,0.99799,0.99893,0.99854,0.99708,0.99757,0.99849,0.99874,0.99912,0.99894,0.99637,0.99703,0.99721,0.99928,0.99961,0.99924,0.99924,0.99678,0.99965,0.9997,0.99934,0.9997,0.99762,0.99785,0.9982,0.99874,0.99901,0.99922,0.99886,0.99753
0.99907,0.99886,1,0.9981,0.9993,0.9992,0.99977,0.99885,0.99603,0.9998,0.99811,0.99882,0.99808,0.99968,0.99909,0.99979,0.99963,0.9982,0.99868,0.99958,0.99975,0.99801,0.99792,0.99748,0.99814,0.99833,0.9994,0.99853,0.99852,0.99957,0.9979,0.99861,0.99888,0.99944,0.99888,0.99874,0.99673,0.99708,0.99975,0.99977,0.9996,0.99775,0.99641
0.99721,0.99698,0.9981,1,0.99875,0.99886,0.9981,0.99697,0.99415,0.99799,0.99978,0.99923,0.99977,0.99789,0.99892,0.99801,0.99841,0.99976,0.99937,0.99845,0.9982,0.99613,0.99608,0.99933,0.99962,0.99969,0.99759,0.99665,0.99675,0.99771,0.99964,0.99673,0.99701,0.99758,0.99701,0.99933,0.99485,0.9952,0.99821,0.99795,0.99773,0.99587,0.99453
0.99842,0.99819,0.9993,0.99875,1,0.99974,0.9993,0.99818,0.99536,0.9992,0.99878,0.99947,0.99874,0.99908,0.99961,0.99922,0.99961,0.99887,0.99933,0.99961,0.99939,0.99735,0.99728,0.99814,0.99877,0.99899,0.99878,0.99786,0.99792,0.99891,0.99855,0.99795,0.99822,0.99881,0.99822,0.99939,0.99606,0.99642,0.9994,0.99916,0.99895,0.99709,0.99575
0.99831,0.99809,0.9992,0.99886,0.99974,1,0.9992,0.99808,0.99526,0.99909,0.99888,0.99955,0.99884,0.99899,0.99968,0.99912,0.9995,0.99896,0.99942,0.99952,0.99929,0.99724,0.99718,0.99825,0.99888,0.99909,0.99868,0.99776,0.99782,0.99881,0.99866,0.99784,0.99812,0.99869,0.99812,0.99948,0.99596,0.99631,0.99929,0.99905,0.99884,0.99698,0.99564
0.99906,0.99884,0.99977,0.9981,0.9993,0.9992,1,0.99883,0.99602,0.99975,0.99812,0.99882,0.99808,0.99963,0.99908,0.99975,0.99962,0.9982,0.99868,0.99956,0.99971,0.998,0.99791,0.99749,0.99813,0.99833,0.99936,0.99852,0.99851,0.99952,0.9979,0.99859,0.99886,0.99943,0.99886,0.99874,0.99672,0.99707,0.99972,0.99973,0.99956,0.99774,0.9964
0.99964,0.99979,0.99885,0.99697,0.99818,0.99808,0.99883,1,0.99716,0.99896,0.99698,0.99769,0.99694,0.99903,0.99798,0.99892,0.99853,0.99707,0.99755,0.99848,0.99873,0.99914,0.99896,0.99635,0.99702,0.9972,0.99928,0.99965,0.99924,0.99924,0.99677,0.99968,0.99972,0.99934,0.99972,0.9976,0.99786,0.99822,0.99873,0.999,0.99922,0.99888,0.99755
0.99691,0.99714,0.99603,0.99415,0.99536,0.99526,0.99602,0.99716,1,0.99614,0.99416,0.99487,0.99412,0.99622,0.99516,0.99611,0.99571,0.99425,0.99473,0.99567,0.99591,0.998,0.99791,0.99353,0.9942,0.99438,0.99651,0.99748,0.9972,0.99642,0.99395,0.9974,0.9971,0.99654,0.9971,0.99478,0.99927,0.99892,0.99591,0.99618,0.9964,0.99826,0.99957
0.99918,0.99897,0.9998,0.99799,0.9992,0.99909,0.99975,0.99896,0.99614,1,0.99801,0.99872,0.99797,0.99975,0.99899,0.99981,0.99954,0.99809,0.99858,0.99948,0.9997,0.99812,0.99803,0.99738,0.99803,0.99823,0.99949,0.99864,0.99862,0.99967,0.99779,0.99872,0.99899,0.99956,0.99899,0.99863,0.99684,0.99719,0.9997,0.99986,0.9997,0.99786,0.99652
